ID,channel,activities_22,activities_21,activities_20,latest_activity,latest_hqa,HQAs_22,HQAs_21,HQAs_20,"('aum', 'Active Equity')","('aum', 'Active FI')","('aum', 'Alts')","('aum', 'Bond ETF')","('aum', 'Core Equity')","('aum', 'Factors')","('aum', 'MAS')","('aum', 'Market Driven/Precision')","('aum', 'Megatrends')","('aum', 'Models')","('aum', 'Sustainable')",mkt_emails_clicked 2020,mkt_emails_opened 2020,mkt_emails_sent 2020,mkt_emails_clicked 2021,mkt_emails_opened 2021,mkt_emails_sent 2021,mkt_emails_clicked 2022,mkt_emails_opened 2022,mkt_emails_sent 2022,"('events_attended', 2020)","('events_attended', 2021)","('events_attended', 2022)","('webinars_attended', 2020)","('webinars_attended', 2021)","('webinars_attended', 2022)","('web_visits', 2020)","('web_visits', 2021)","('web_visits', 2022)","('advisor_center_completes', 2020)","('advisor_center_completes', 2021)","('advisor_center_completes', 2022)","('total_ac_portfolios', 2020)","('total_ac_portfolios', 2021)","('total_ac_portfolios', 2022)"
22,uswa-core-wealth,5,17,6,5/2/22,7/8/21,0,1,3,186108.015,344498.5,7515.78,113729,285670,169733,118419.805,198690,0,0,0,3,3,65,0,0,16,0,0,1,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0
23,uswa-emerging-wealth,13,17,14,6/30/22,10/1/18,0,0,0,86852.67,59613.97,0,2835713.26,3544192.27,2922286.94,0,3790145.55,4214,0,0,1,8,102,0,7,54,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,uswa-core-wealth,9,16,6,5/26/22,5/26/22,3,2,1,0,27725.77,869.03,122531.58,1259788.1,69820.82,488667.405,594250.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,uswa-core-wealth,4,3,9,5/16/22,5/16/22,2,2,3,179851.815,1068756.275,0,6183832,4049344,103456,0,8580604,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
26,uswa-emerging-wealth,11,8,13,6/1/22,6/1/22,1,0,2,3857159.36,971253.55,695956.34,0,3213.51,0,202319.88,0,0,25502,1704.84,0,0,101,0,0,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,uswa-core-wealth,9,12,19,5/23/22,4/5/22,1,1,6,86668.64,98522.66,0,592792,450576,0,1905.45,755973,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,50,0,0,4,0,0,6,0,0
28,uswa-metro-wealth,34,35,6,6/28/22,4/7/22,2,1,2,1155825.47,0,2068.97,4033815.52,2126200.17,2542283.44,93938.71,424269.77,0,0,0,0,0,5,0,0,5,0,0,11,0,0,0,0,0,0,11,0,0,2,0,0,2,0,0
29,uswa-emerging-wealth,2,4,0,2/8/22,2/8/22,2,1,0,1331.7,224543.02,0,723380.99,4579735.97,596084.15,12337.54,736121.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,uswa-emerging-wealth,2,14,21,3/21/22,6/8/21,0,2,3,218572.64,496688.92,412000,0,0,0,1510868.93,0,0,0,0,0,0,12,3,3,19,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,uswa-core-wealth,11,13,18,6/9/22,9/7/18,0,0,0,8181.3,390775.555,1530.87,1058361.72,1079425.5,45738.87,0,1801525.44,0,0,0,0,15,106,4,12,93,2,8,45,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
32,uswa-emerging-wealth,0,15,0,11/17/21,7/30/21,0,1,0,533626.51,81793.04,23076.18,268163.99,1193000.32,123874.14,0,867967.34,0,0,0,0,3,3,0,6,11,0,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,uswa-metro-wealth,5,41,45,6/6/22,3/28/22,1,9,19,10580.67,1567601.4,650000,0,0,0,2226390.15,192974,0,0,0,12,14,18,8,43,49,3,27,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,uswa-core-wealth,20,33,17,6/29/22,6/6/22,4,5,4,8246164.75,1608974.42,0,17171.48,46091.37,10570.41,1341.3,13906.53,0,0,2520936.45,1,3,15,1,8,10,2,2,13,1,1,0,0,1,0,39,0,12,3,0,2,2,0,2
35,uswa-core-wealth,5,34,31,5/16/22,4/28/22,2,1,3,636829.21,2360680.75,0,1103072,3175149,877046,16143.42,3403787,0,0,1224,1,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,uswa-core-wealth,7,39,17,5/3/22,2/8/22,1,3,5,147360.97,1381935.29,0,277310,283042,364802,0,360508,4989,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
37,uswa-core-wealth,6,7,9,5/31/22,3/30/22,2,2,0,0,0,0,16963,53307,151728,0,14690,0,0,10951,0,0,13,0,0,19,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,uswa-core-wealth,9,20,28,7/2/22,3/9/22,1,2,7,1348421.52,1100175.66,0,499874,142813,146216,103554.44,1724257,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,uswa-core-wealth,4,2,9,4/29/22,4/25/22,3,2,0,126482.52,209026.02,0,1043492,348078,0,15238.63,2170906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,uswa-core-wealth,13,8,17,5/4/22,1/26/21,0,2,0,196353.86,405908.57,28931.44,3560048,1166142,179705,0,3260815,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,82,0,0,8,0,0,9,0
41,uswa-core-wealth,5,14,20,6/27/22,6/27/22,1,0,1,125389.3,109233.13,0,39126,179258,142063,6449.07,656689,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,uswa-metro-wealth,4,10,31,6/28/22,5/2/22,1,0,2,0,10159425.69,1493186.82,4785498,9719000,7971,21150.7,13805314,0,0,170309.62,0,0,17,0,0,18,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,uswa-core-wealth,8,23,21,5/16/22,3/17/22,1,1,2,650334.08,1273733.52,83130.65,1477823.2,11764986.05,393838.03,0,215173.63,0,0,31346.09,0,27,27,1,10,11,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,uswa-emerging-wealth,56,77,57,6/29/22,6/13/22,8,13,13,0,0,2017303.42,5515772.38,8922729.92,3923498.56,0,5747585.18,0,0,4567779.2,9,163,197,17,88,115,6,25,46,0,0,0,1,0,0,66,0,0,4,0,0,22,0,7
45,uswa-emerging-wealth,8,7,27,7/6/22,3/20/20,0,0,1,258699.635,282762.99,0,1041768.2,1842852.54,198126.54,2604414.725,1760439.53,0,0,0,0,1,55,0,0,11,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,uswa-metro-wealth,3,8,47,7/6/22,10/13/21,0,5,6,32004.27,512004.79,130170.93,314391,4852659,1440732,47362.395,432089,5515,0,1160080,0,0,11,0,0,22,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,uswa-emerging-wealth,8,12,18,6/13/22,9/2/20,0,0,2,326547.95,3241683.79,0,81764,0,84263,0,200038,0,0,190892.56,0,0,18,0,0,21,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,uswa-core-wealth,7,16,13,5/16/22,6/16/21,0,1,6,1250732.88,214496.03,105500.8,142344,38098,0,58032.43,675646,18892,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,uswa-core-wealth,9,13,0,7/6/22,4/14/21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,95,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,uswa-mega-wealth,8,0,9,6/24/22,1/0/00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
